"Guid","AnnualRevenue","City","Company","Country","Description","Email","EmailBouncedReason","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","NumberOfEmployees","Phone","PostalCode","Rating","Salutation","State","Status","Street","Test_Rich_Text_area__c","Title","Website"
09741a4f-cc84-4e4e-941b-566c6e514481,"#N/A","#N/A",Test Pvt Ltd 9,"#N/A","#N/A","#N/A","#N/A",Test Lead,"#N/A","#N/A",false,true,"#N/A",9,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
09f8367a-6287-442b-b66f-2209db36ea5d,"#N/A","#N/A",Test Pvt Ltd 4,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
0a16f55b-ceda-4912-8b3e-c8bbb50ac3fa,"#N/A","#N/A",Rob Test Account 9,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,false,"#N/A",Test Lead 9,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
0c5186c0-d6fb-4f1b-b44b-9f5c8b408b31,"#N/A","#N/A",Test Pvt Ltd 5,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
14ff1164-d730-4552-8dae-924615c2c039,"#N/A","#N/A",Rob Test Account 8,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,false,"#N/A",Test Lead 8,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
15ceb575-68f4-4d87-b59f-8e3827c6d0d5,"#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
1b4795a7-4a2a-41c8-9177-27af819ec2b6,"#N/A","#N/A",Rob Test Account 2,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,false,"#N/A",Test Lead 2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
22d38e6c-7383-4700-b7e2-bb5e22c7ae13,"#N/A","#N/A",Test Pvt Ltd 3,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
2ed83e42-0ac9-490c-bd91-9dd872155d92,"#N/A","#N/A",Rob Test Account 11,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,false,"#N/A",Test Lead 11,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
2ee1b04c-1f28-4044-9d4b-ba4833c0ba8f,"#N/A","#N/A",Rob Test Company 4,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,false,"#N/A",Test Lead 4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
